filename,time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec)
xa.s15.00.mhz.1973-10-27HR00_evid00134,1973-10-27T11:19:15.270981,40754.71698113208
xa.s15.00.mhz.1974-10-19HR00_evid00157,1974-10-19T19:39:52.897830,70792.45283018867
xa.s15.00.mhz.1974-11-17HR00_evid00162,1974-11-17T19:57:29.173604,71849.05660377358
xa.s15.00.mhz.1974-11-21HR00_evid00166,1974-11-21T13:22:31.563396,48150.943396226416
xa.s15.00.mhz.1974-11-21HR00_evid00166,1974-11-21T17:24:02.129434,62641.50943396227
xa.s15.00.mhz.1974-12-15HR00_evid00169,1974-12-15T04:04:01.667434,14641.509433962265
xa.s15.00.mhz.1974-12-15HR00_evid00169,1974-12-15T05:47:10.346679,20830.188679245282
xa.s15.00.mhz.1974-12-15HR00_evid00170,1974-12-15T04:04:01.667434,14641.509433962265
xa.s15.00.mhz.1974-12-15HR00_evid00170,1974-12-15T05:47:10.346679,20830.188679245282
xa.s15.00.mhz.1975-04-12HR00_evid00190,1975-04-12T18:24:24.668943,66264.15094339622
xa.s15.00.mhz.1975-06-22HR00_evid00194,1975-06-22T19:57:29.283604,71849.05660377358
